"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login failure with incorrect username.","4575","test_login_with_wrong_username","tests_pages","Wed Mar 11 04:16:03 UTC 2026","passed","Wed Mar 11 04:16:08 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify successful login with valid credentials using POM.","83954","test_login_with_valid_credentials_with_pom","tests_pages","Wed Mar 11 04:14:39 UTC 2026","passed","Wed Mar 11 04:16:03 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify login failure with incorrect password.","4897","test_login_with_wrong_password","tests_pages","Wed Mar 11 04:16:08 UTC 2026","passed","Wed Mar 11 04:16:13 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify home page loads correctly with Page Object Model.","1061","test_go_to_home_page_with_pom","tests_pages","Wed Mar 11 04:14:37 UTC 2026","passed","Wed Mar 11 04:14:38 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify validation error when password is not provided.","3390","test_login_with_no_password","tests_pages","Wed Mar 11 04:16:14 UTC 2026","passed","Wed Mar 11 04:16:17 UTC 2026","TestUserLogins","test_user_logins","",""
"Verify validation errors when no credentials are provided.","2739","test_login_with_no_username_or_password","tests_pages","Wed Mar 11 04:16:17 UTC 2026","passed","Wed Mar 11 04:16:20 UTC 2026","TestUserLogins","test_user_logins","",""
